,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,title
0,Dead,3rd,male,22,1,0,7.2,Southampton,LR
1,Survived,1st,female,38,1,0,71.3,Cherbourg,LR
2,Survived,3rd,female,26,0,0,7.9,Southampton,LR
3,Survived,1st,female,35,1,0,53.1,Southampton,LR
4,Dead,3rd,male,35,0,0,8.1,Southampton,LR
5,Dead,3rd,male,29,0,0,8.5,Queenstown,LR
6,Dead,1st,male,54,0,0,51.9,Southampton,LR
7,Dead,3rd,male,2,3,1,21.1,Southampton,HR
8,Survived,3rd,female,27,0,2,11.1,Southampton,LR
9,Survived,2nd,female,14,1,0,30.1,Cherbourg,LR
10,Survived,3rd,female,4,1,1,16.7,Southampton,LR
11,Survived,1st,female,58,0,0,26.6,Southampton,LR
12,Dead,3rd,male,20,0,0,8.1,Southampton,LR
13,Dead,3rd,male,39,1,5,31.3,Southampton,LR
14,Dead,3rd,female,14,0,0,7.9,Southampton,LR
15,Survived,2nd,female,55,0,0,16.0,Southampton,LR
16,Dead,3rd,male,2,4,1,29.1,Queenstown,HR
17,Survived,2nd,male,29,0,0,13.0,Southampton,LR
18,Dead,3rd,female,31,1,0,18.0,Southampton,LR
19,Survived,3rd,female,29,0,0,7.2,Cherbourg,LR
20,Dead,2nd,male,35,0,0,26.0,Southampton,LR
21,Survived,2nd,male,34,0,0,13.0,Southampton,LR
22,Survived,3rd,female,15,0,0,8.0,Queenstown,LR
23,Survived,1st,male,28,0,0,35.5,Southampton,LR
24,Dead,3rd,female,8,3,1,21.1,Southampton,LR
25,Survived,3rd,female,38,1,5,31.4,Southampton,LR
26,Dead,3rd,male,29,0,0,7.2,Cherbourg,LR
27,Dead,1st,male,19,3,2,263.0,Southampton,LR
28,Survived,3rd,female,29,0,0,7.9,Queenstown,LR
29,Dead,3rd,male,29,0,0,7.9,Southampton,LR
30,Dead,1st,male,40,0,0,27.7,Cherbourg,HR
31,Survived,1st,female,29,1,0,146.5,Cherbourg,LR
32,Survived,3rd,female,29,0,0,7.8,Queenstown,LR
33,Dead,2nd,male,66,0,0,10.5,Southampton,LR
34,Dead,1st,male,28,1,0,82.2,Cherbourg,LR
35,Dead,1st,male,42,1,0,52.0,Southampton,LR
36,Survived,3rd,male,29,0,0,7.2,Cherbourg,LR
37,Dead,3rd,male,21,0,0,8.1,Southampton,LR
38,Dead,3rd,female,18,2,0,18.0,Southampton,LR
39,Survived,3rd,female,14,1,0,11.2,Cherbourg,LR
40,Dead,3rd,female,40,1,0,9.5,Southampton,LR
41,Dead,2nd,female,27,1,0,21.0,Southampton,LR
42,Dead,3rd,male,29,0,0,7.9,Cherbourg,LR
43,Survived,2nd,female,3,1,2,41.6,Cherbourg,LR
44,Survived,3rd,female,19,0,0,7.9,Queenstown,LR
45,Dead,3rd,male,29,0,0,8.1,Southampton,LR
46,Dead,3rd,male,29,1,0,15.5,Queenstown,LR
47,Survived,3rd,female,29,0,0,7.8,Queenstown,LR
48,Dead,3rd,male,29,2,0,21.7,Cherbourg,LR
49,Dead,3rd,female,18,1,0,17.8,Southampton,LR
50,Dead,3rd,male,7,4,1,39.7,Southampton,HR
51,Dead,3rd,male,21,0,0,7.8,Southampton,LR
52,Survived,1st,female,49,1,0,76.7,Cherbourg,LR
53,Survived,2nd,female,29,1,0,26.0,Southampton,LR
54,Dead,1st,male,65,0,1,62.0,Cherbourg,LR
55,Survived,1st,male,29,0,0,35.5,Southampton,LR
56,Survived,2nd,female,21,0,0,10.5,Southampton,LR
57,Dead,3rd,male,28,0,0,7.2,Cherbourg,LR
58,Survived,2nd,female,5,1,2,27.8,Southampton,LR
59,Dead,3rd,male,11,5,2,46.9,Southampton,HR
60,Dead,3rd,male,22,0,0,7.2,Cherbourg,LR
61,Survived,1st,female,38,0,0,80.0,Southampton,LR
62,Dead,1st,male,45,1,0,83.5,Southampton,LR
63,Dead,3rd,male,4,3,2,27.9,Southampton,HR
64,Dead,1st,male,29,0,0,27.7,Cherbourg,LR
65,Survived,3rd,male,29,1,1,15.2,Cherbourg,HR
66,Survived,2nd,female,29,0,0,10.5,Southampton,LR
67,Dead,3rd,male,19,0,0,8.2,Southampton,LR
68,Survived,3rd,female,17,4,2,7.9,Southampton,LR
69,Dead,3rd,male,26,2,0,8.7,Southampton,LR
70,Dead,2nd,male,32,0,0,10.5,Southampton,LR
71,Dead,3rd,female,16,5,2,46.9,Southampton,LR
72,Dead,2nd,male,21,0,0,73.5,Southampton,LR
73,Dead,3rd,male,26,1,0,14.5,Cherbourg,LR
74,Survived,3rd,male,32,0,0,56.5,Southampton,LR
75,Dead,3rd,male,25,0,0,7.7,Southampton,LR
76,Dead,3rd,male,29,0,0,7.9,Southampton,LR
77,Dead,3rd,male,29,0,0,8.1,Southampton,LR
78,Survived,2nd,male,0,0,2,29.0,Southampton,HR
