,Survived,Pclass,Sex,Age,Fare,Embarked,title,companion
0,0,3rd,male,22,7.2,Southampton,LR,1
1,1,1st,female,38,71.3,Cherbourg,LR,1
2,1,3rd,female,26,7.9,Southampton,LR,0
3,1,1st,female,35,53.1,Southampton,LR,1
4,0,3rd,male,35,8.1,Southampton,LR,0
5,0,3rd,male,29,8.5,Queenstown,LR,0
6,0,1st,male,54,51.9,Southampton,LR,0
7,0,3rd,male,2,21.1,Southampton,HR,1
8,1,3rd,female,27,11.1,Southampton,LR,1
9,1,2nd,female,14,30.1,Cherbourg,LR,1
10,1,3rd,female,4,16.7,Southampton,LR,1
11,1,1st,female,58,26.6,Southampton,LR,0
12,0,3rd,male,20,8.1,Southampton,LR,0
13,0,3rd,male,39,31.3,Southampton,LR,1
14,0,3rd,female,14,7.9,Southampton,LR,0
15,1,2nd,female,55,16.0,Southampton,LR,0
16,0,3rd,male,2,29.1,Queenstown,HR,1
17,1,2nd,male,29,13.0,Southampton,LR,0
18,0,3rd,female,31,18.0,Southampton,LR,1
19,1,3rd,female,29,7.2,Cherbourg,LR,0
20,0,2nd,male,35,26.0,Southampton,LR,0
21,1,2nd,male,34,13.0,Southampton,LR,0
22,1,3rd,female,15,8.0,Queenstown,LR,0
23,1,1st,male,28,35.5,Southampton,LR,0
24,0,3rd,female,8,21.1,Southampton,LR,1
25,1,3rd,female,38,31.4,Southampton,LR,1
26,0,3rd,male,29,7.2,Cherbourg,LR,0
27,0,1st,male,19,263.0,Southampton,LR,1
28,1,3rd,female,29,7.9,Queenstown,LR,0
29,0,3rd,male,29,7.9,Southampton,LR,0
30,0,1st,male,40,27.7,Cherbourg,HR,0
31,1,1st,female,29,146.5,Cherbourg,LR,1
32,1,3rd,female,29,7.8,Queenstown,LR,0
33,0,2nd,male,66,10.5,Southampton,LR,0
34,0,1st,male,28,82.2,Cherbourg,LR,1
35,0,1st,male,42,52.0,Southampton,LR,1
36,1,3rd,male,29,7.2,Cherbourg,LR,0
37,0,3rd,male,21,8.1,Southampton,LR,0
38,0,3rd,female,18,18.0,Southampton,LR,1
39,1,3rd,female,14,11.2,Cherbourg,LR,1
40,0,3rd,female,40,9.5,Southampton,LR,1
41,0,2nd,female,27,21.0,Southampton,LR,1
42,0,3rd,male,29,7.9,Cherbourg,LR,0
43,1,2nd,female,3,41.6,Cherbourg,LR,1
44,1,3rd,female,19,7.9,Queenstown,LR,0
45,0,3rd,male,29,8.1,Southampton,LR,0
46,0,3rd,male,29,15.5,Queenstown,LR,1
47,1,3rd,female,29,7.8,Queenstown,LR,0
48,0,3rd,male,29,21.7,Cherbourg,LR,1
49,0,3rd,female,18,17.8,Southampton,LR,1
50,0,3rd,male,7,39.7,Southampton,HR,1
51,0,3rd,male,21,7.8,Southampton,LR,0
52,1,1st,female,49,76.7,Cherbourg,LR,1
53,1,2nd,female,29,26.0,Southampton,LR,1
