,Name,Platform,Year,Genre,Publisher,Sales,region
0,Wii Sports,Wii,2006,Sports,Nintendo,41.49,NA
1,Super Mario Bros.,NES,1985,Platform,Nintendo,29.08,NA
2,Mario Kart Wii,Wii,2008,Racing,Nintendo,15.85,NA
3,Wii Sports Resort,Wii,2009,Sports,Nintendo,15.75,NA
4,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,11.27,NA
5,Tetris,GB,1989,Puzzle,Nintendo,23.2,NA
6,New Super Mario Bros.,DS,2006,Platform,Nintendo,11.38,NA
7,Wii Play,Wii,2006,Misc,Nintendo,14.03,NA
8,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.59,NA
9,Duck Hunt,NES,1984,Shooter,Nintendo,26.93,NA
10,Nintendogs,DS,2005,Simulation,Nintendo,9.07,NA
11,Mario Kart DS,DS,2005,Racing,Nintendo,9.81,NA
12,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,9.0,NA
13,Wii Fit,Wii,2007,Sports,Nintendo,8.94,NA
14,Wii Fit Plus,Wii,2009,Sports,Nintendo,9.09,NA
15,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,14.97,NA
16,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.01,NA
17,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,NA
18,Super Mario World,SNES,1990,Platform,Nintendo,12.78,NA
19,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4.75,NA
20,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,6.42,NA
21,Super Mario Land,GB,1989,Platform,Nintendo,10.83,NA
22,Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.54,NA
23,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9.63,NA
24,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,NA
25,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,6.06,NA
26,Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,5.57,NA
27,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3.44,NA
28,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,6.85,NA
29,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,9.03,NA
30,Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,5.89,NA
31,Call of Duty: Black Ops,X360,2010,Shooter,Activision,9.67,NA
32,Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,5.17,NA
33,Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,5.77,NA
34,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4.99,NA
35,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,8.25,NA
36,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,8.52,NA
37,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,5.54,NA
38,Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,6.99,NA
39,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6.75,NA
40,Call of Duty: Black Ops,PS3,2010,Shooter,Activision,5.98,NA
41,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2.55,NA
42,Mario Kart 7,3DS,2011,Racing,Nintendo,4.74,NA
43,Halo 3,X360,2007,Shooter,Microsoft Game Studios,7.97,NA
44,Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3.8,NA
45,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,4.4,NA
46,Super Mario 64,N64,1996,Platform,Nintendo,6.91,NA
47,Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,3.01,NA
48,Super Mario Galaxy,Wii,2007,Platform,Nintendo,6.16,NA
49,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,4.23,NA
50,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,6.16,NA
51,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6.76,NA
52,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,4.02,NA
53,Super Mario 3D Land,3DS,2011,Platform,Nintendo,4.89,NA
54,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,2.96,NA
55,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,4.99,NA
56,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.76,NA
57,Super Mario All-Stars,SNES,1993,Platform,Nintendo,5.99,NA
58,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,4.34,NA
59,Super Mario 64,DS,2004,Platform,Nintendo,5.08,NA
60,Just Dance 3,Wii,2011,Misc,Ubisoft,6.05,NA
61,Call of Duty: Ghosts,X360,2013,Shooter,Activision,6.72,NA
62,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,7.03,NA
63,Mario Kart 64,N64,1996,Racing,Nintendo,5.55,NA
64,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3.66,NA
65,Halo 4,X360,2012,Shooter,Microsoft Game Studios,6.63,NA
66,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,NA
67,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,4.09,NA
68,Just Dance 2,Wii,2010,Misc,Ubisoft,5.84,NA
69,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3.88,NA
70,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.91,NA
71,Donkey Kong Country,SNES,1994,Platform,Nintendo,4.36,NA
72,Minecraft,X360,2013,Misc,Microsoft Game Studios,5.58,NA
73,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.01,NA
74,Mario Party DS,DS,2007,Misc,Nintendo,4.46,NA
75,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5.03,NA
76,Super Mario Kart,SNES,1992,Racing,Nintendo,3.54,NA
77,FIFA 16,PS4,2015,Sports,Electronic Arts,1.11,NA
78,Wii Party,Wii,2010,Misc,Nintendo,1.79,NA
79,Halo 2,XB,2004,Shooter,Microsoft Game Studios,6.82,NA
80,Mario Party 8,Wii,2007,Misc,Nintendo,3.81,NA
81,Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,2.91,NA
82,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.06,NA
83,The Sims 3,PC,2009,Simulation,Electronic Arts,0.98,NA
84,GoldenEye 007,N64,1997,Shooter,Nintendo,5.8,NA
85,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2.58,NA
86,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,NA
